company,country_name,date,entity_name,entity_type,gender_name,metric_id,metric_name,msa_name,us_region_name,us_state_name,value,world_region_name
"Netflix, Inc.",Belgium,2018-09-12,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.74206686,N/A
"Netflix, Inc.",Belgium,2018-09-13,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.3777148,N/A
"Netflix, Inc.",Belgium,2018-09-14,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.89471227,N/A
"Netflix, Inc.",Belgium,2018-09-15,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.0775398,N/A
"Netflix, Inc.",Belgium,2018-09-16,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.30470774,N/A
"Netflix, Inc.",Belgium,2018-09-17,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.73953557,N/A
"Netflix, Inc.",Belgium,2018-09-18,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.64675283,N/A
"Netflix, Inc.",Belgium,2018-09-19,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.45870298,N/A
"Netflix, Inc.",Belgium,2018-09-20,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.46942627,N/A
"Netflix, Inc.",Belgium,2018-09-21,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.2459148,N/A
"Netflix, Inc.",Belgium,2018-09-22,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.2352288,N/A
"Netflix, Inc.",Belgium,2018-09-23,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.215976,N/A
"Netflix, Inc.",Belgium,2018-09-24,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.0815586,N/A
"Netflix, Inc.",Belgium,2018-09-25,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.8002205,N/A
"Netflix, Inc.",Belgium,2018-09-26,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9753762,N/A
"Netflix, Inc.",Belgium,2018-09-27,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.81378734,N/A
"Netflix, Inc.",Belgium,2018-09-28,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9236169,N/A
"Netflix, Inc.",Belgium,2018-09-29,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9143182,N/A
"Netflix, Inc.",Belgium,2018-09-30,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.7529695,N/A
"Netflix, Inc.",Brazil,2018-09-01,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.7787652,N/A
"Netflix, Inc.",Brazil,2018-09-02,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.7672042,N/A
"Netflix, Inc.",Brazil,2018-09-03,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.3713286,N/A
"Netflix, Inc.",Brazil,2018-09-04,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.5442061,N/A
"Netflix, Inc.",Brazil,2018-09-05,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.2878497,N/A
"Netflix, Inc.",Brazil,2018-09-06,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.2982785,N/A
"Netflix, Inc.",Brazil,2018-09-07,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.5674028,N/A
"Netflix, Inc.",Brazil,2018-09-08,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.5072303,N/A
"Netflix, Inc.",Brazil,2018-09-09,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.7141383,N/A
